row_id,franchise,revenue_category,revenue,year_created,original_media,creators,owners
302,Winnie the Pooh,Home Video/Entertainment,0.059,1924,Book,A. A. Milne E. H. Shepard,The Walt Disney Company
303,Winnie the Pooh,"Merchandise, Licensing & Retail",74,1924,Book,A. A. Milne E. H. Shepard,The Walt Disney Company
304,Wizarding World / Harry Potter,Book sales,7,1997,Novel,J. K. Rowling,J. K. Rowling (books) Warner Bros. (AT&T) (films)
305,Wizarding World / Harry Potter,Box Office,9,1997,Novel,J. K. Rowling,J. K. Rowling (books) Warner Bros. (AT&T) (films)
306,Wizarding World / Harry Potter,Home Video/Entertainment,3,1997,Novel,J. K. Rowling,J. K. Rowling (books) Warner Bros. (AT&T) (films)
307,Wizarding World / Harry Potter,"Merchandise, Licensing & Retail",7.108,1997,Novel,J. K. Rowling,J. K. Rowling (books) Warner Bros. (AT&T) (films)
308,Wizarding World / Harry Potter,TV,1,1997,Novel,J. K. Rowling,J. K. Rowling (books) Warner Bros. (AT&T) (films)
309,Wizarding World / Harry Potter,Video Games/Games,1,1997,Novel,J. K. Rowling,J. K. Rowling (books) Warner Bros. (AT&T) (films)
310,X-Men,Box Office,5,1963,Comic book,Stan Lee Jack Kirby,Marvel Entertainment (The Walt Disney Company)
311,X-Men,Comic or Manga,0.466,1963,Comic book,Stan Lee Jack Kirby,Marvel Entertainment (The Walt Disney Company)
312,X-Men,Home Video/Entertainment,0.667,1963,Comic book,Stan Lee Jack Kirby,Marvel Entertainment (The Walt Disney Company)
313,X-Men,"Merchandise, Licensing & Retail",0.9,1963,Comic book,Stan Lee Jack Kirby,Marvel Entertainment (The Walt Disney Company)
314,Yo-kai Watch,Box Office,0.159,2013,Video game,Level-5,Level-5  Nintendo
315,Yo-kai Watch,Home Video/Entertainment,0.039,2013,Video game,Level-5,Level-5  Nintendo
316,Yo-kai Watch,"Merchandise, Licensing & Retail",3,2013,Video game,Level-5,Level-5  Nintendo
317,Yo-kai Watch,Video Games/Games,0.825,2013,Video game,Level-5,Level-5  Nintendo
318,Yu-Gi-Oh!,Box Office,0.042,1996,Manga,Kazuki Takahashi,Shueisha (Hitotsubashi Group) Konami (games)
319,Yu-Gi-Oh!,Comic or Manga,3.196,1996,Manga,Kazuki Takahashi,Shueisha (Hitotsubashi Group) Konami (games)
320,Yu-Gi-Oh!,"Merchandise, Licensing & Retail",4,1996,Manga,Kazuki Takahashi,Shueisha (Hitotsubashi Group) Konami (games)
321,Yu-Gi-Oh!,Video Games/Games,11.329,1996,Manga,Kazuki Takahashi,Shueisha (Hitotsubashi Group) Konami (games)
