row_id,franchise,revenue_category,revenue,year_created,original_media,creators,owners
129,JoJo's Bizarre Adventure,Video Games/Games,0.306,1987,Manga,Hirohiko Araki,Shueisha (Hitotsubashi Group)
130,Jurassic Park,Box Office,4,1990,Novel,Michael Crichton,Alfred A. Knopf (novel) Universal Pictures (Comcast) (film)
131,Jurassic Park,Home Video/Entertainment,0.678,1990,Novel,Michael Crichton,Alfred A. Knopf (novel) Universal Pictures (Comcast) (film)
132,Jurassic Park,"Merchandise, Licensing & Retail",3,1990,Novel,Michael Crichton,Alfred A. Knopf (novel) Universal Pictures (Comcast) (film)
133,KochiKame,Box Office,0.01,1976,Manga,Osamu Akimoto,Shueisha (Hitotsubashi Group)
134,KochiKame,Comic or Manga,15.807,1976,Manga,Osamu Akimoto,Shueisha (Hitotsubashi Group)
135,Kumamon,Box Office,0.065,2010,Cartoon,Kumamoto Prefecture,Kumamoto Prefecture
136,Kumamon,"Merchandise, Licensing & Retail",4,2010,Cartoon,Kumamoto Prefecture,Kumamoto Prefecture
137,League of Legends,Video Games/Games,8,2009,Video game,Riot Games,Tencent
138,Looney Tunes,Box Office,0.299,1930,Animated cartoon,Warner Bros.,Warner Bros. (AT&T)
139,Looney Tunes,"Merchandise, Licensing & Retail",13,1930,Animated cartoon,Warner Bros.,Warner Bros. (AT&T)
140,Mario,Box Office,0.021,1981,Video game,Shigeru Miyamoto,Nintendo
141,Mario,Comic or Manga,1,1981,Video game,Shigeru Miyamoto,Nintendo
142,Mario,"Merchandise, Licensing & Retail",4,1981,Video game,Shigeru Miyamoto,Nintendo
143,Mario,Video Games/Games,30,1981,Video game,Shigeru Miyamoto,Nintendo
144,Marvel Cinematic Universe,Box Office,21,2008,Film,Marvel Studios,Walt Disney Studios (The Walt Disney Company) (franchise) Sony (Spider-Man films)
145,Marvel Cinematic Universe,Home Video/Entertainment,5,2008,Film,Marvel Studios,Walt Disney Studios (The Walt Disney Company) (franchise) Sony (Spider-Man films)
146,Marvel Cinematic Universe,"Merchandise, Licensing & Retail",5,2008,Film,Marvel Studios,Walt Disney Studios (The Walt Disney Company) (franchise) Sony (Spider-Man films)
147,Mickey Mouse & Friends,Box Office,0.457,1928,Animated cartoon,Walt Disney Ub Iwerks,The Walt Disney Company
148,Mickey Mouse & Friends,Home Video/Entertainment,0.28,1928,Animated cartoon,Walt Disney Ub Iwerks,The Walt Disney Company
149,Mickey Mouse & Friends,"Merchandise, Licensing & Retail",69,1928,Animated cartoon,Walt Disney Ub Iwerks,The Walt Disney Company
150,Middle-earth / Lord of the Rings,Book sales,9,1937,Novel,J. R. R. Tolkien,Tolkien Estate (books)  Warner Bros. (AT&T) (films)
151,Middle-earth / Lord of the Rings,Box Office,5,1937,Novel,J. R. R. Tolkien,Tolkien Estate (books)  Warner Bros. (AT&T) (films)
152,Middle-earth / Lord of the Rings,Home Video/Entertainment,4,1937,Novel,J. R. R. Tolkien,Tolkien Estate (books)  Warner Bros. (AT&T) (films)
153,Middle-earth / Lord of the Rings,"Merchandise, Licensing & Retail",0.66,1937,Novel,J. R. R. Tolkien,Tolkien Estate (books)  Warner Bros. (AT&T) (films)
154,Middle-earth / Lord of the Rings,Video Games/Games,0.062,1937,Novel,J. R. R. Tolkien,Tolkien Estate (books)  Warner Bros. (AT&T) (films)
155,Minecraft,"Merchandise, Licensing & Retail",3,2009,Video game,Markus Persson,Microsoft Studios
156,Minecraft,Video Games/Games,2,2009,Video game,Markus Persson,Microsoft Studios
157,Mission: Impossible,Box Office,3,1966,Television series,Bruce Geller,Paramount Pictures (Viacom)
158,Mission: Impossible,Home Video/Entertainment,0.146,1966,Television series,Bruce Geller,Paramount Pictures (Viacom)
159,Monster Strike,Box Office,0.01,2013,Video game,Yoshiki Okamoto,Mixi
160,Monster Strike,Video Games/Games,7,2013,Video game,Yoshiki Okamoto,Mixi
161,Mortal Kombat,Box Office,0.173,1992,Video game,Midway Games Chicago Ed Boon John Tobias,Warner Bros. (AT&T)
162,Mortal Kombat,Video Games/Games,1,1992,Video game,Midway Games Chicago Ed Boon John Tobias,Warner Bros. (AT&T)
163,My Little Pony,Box Office,0.067,1984,Animated cartoon,Lauren Faust Bonnie Zacherle,Hasbro
164,My Little Pony,Home Video/Entertainment,0.004,1984,Animated cartoon,Lauren Faust Bonnie Zacherle,Hasbro
165,My Little Pony,"Merchandise, Licensing & Retail",4,1984,Animated cartoon,Lauren Faust Bonnie Zacherle,Hasbro
166,Naruto,Box Office,0.147,1999,Manga,Masashi Kishimoto,Shueisha (Hitotsubashi Group) Pierrot
167,Naruto,Comic or Manga,7,1999,Manga,Masashi Kishimoto,Shueisha (Hitotsubashi Group) Pierrot
168,Naruto,Home Video/Entertainment,0.104,1999,Manga,Masashi Kishimoto,Shueisha (Hitotsubashi Group) Pierrot
169,Naruto,"Merchandise, Licensing & Retail",1,1999,Manga,Masashi Kishimoto,Shueisha (Hitotsubashi Group) Pierrot
170,Naruto,Video Games/Games,0.603,1999,Manga,Masashi Kishimoto,Shueisha (Hitotsubashi Group) Pierrot
171,Neon Genesis Evangelion,Box Office,0.198,1994,Anime,Hideaki Anno Gainax Tatsunoko Production,Khara[dc][279][280]
172,Neon Genesis Evangelion,Comic or Manga,0.18,1994,Anime,Hideaki Anno Gainax Tatsunoko Production,Khara[dc][279][280]
173,Neon Genesis Evangelion,Home Video/Entertainment,0.848,1994,Anime,Hideaki Anno Gainax Tatsunoko Production,Khara[dc][279][280]
174,Neon Genesis Evangelion,"Merchandise, Licensing & Retail",2,1994,Anime,Hideaki Anno Gainax Tatsunoko Production,Khara[dc][279][280]
175,Neon Genesis Evangelion,Music,0.981,1994,Anime,Hideaki Anno Gainax Tatsunoko Production,Khara[dc][279][280]
176,Neon Genesis Evangelion,Video Games/Games,11.03,1994,Anime,Hideaki Anno Gainax Tatsunoko Production,Khara[dc][279][280]
177,One Piece,Box Office,0.433,1997,Manga,Eiichiro Oda,Shueisha (Hitotsubashi Group)  Toei Animation  Bandai Namco (games)
178,One Piece,Comic or Manga,10,1997,Manga,Eiichiro Oda,Shueisha (Hitotsubashi Group)  Toei Animation  Bandai Namco (games)
179,One Piece,Home Video/Entertainment,1,1997,Manga,Eiichiro Oda,Shueisha (Hitotsubashi Group)  Toei Animation  Bandai Namco (games)
180,One Piece,"Merchandise, Licensing & Retail",5,1997,Manga,Eiichiro Oda,Shueisha (Hitotsubashi Group)  Toei Animation  Bandai Namco (games)
181,One Piece,Video Games/Games,1,1997,Manga,Eiichiro Oda,Shueisha (Hitotsubashi Group)  Toei Animation  Bandai Namco (games)
182,Pac-Man,"Merchandise, Licensing & Retail",1,1980,Video game,Toru Iwatani Namco,Bandai Namco Entertainment (Bandai Namco Holdings)
183,Pac-Man,Music,0.032,1980,Video game,Toru Iwatani Namco,Bandai Namco Entertainment (Bandai Namco Holdings)
184,Pac-Man,Video Games/Games,14,1980,Video game,Toru Iwatani Namco,Bandai Namco Entertainment (Bandai Namco Holdings)
185,PAW Patrol,"Merchandise, Licensing & Retail",7,2011,Animated series,Keith Chapman,Viacom
186,Peanuts,Box Office,0.25,1950,Comic strip,Charles M. Schulz,Sony Music Entertainment Japan (Sony Corporation) DHX Media
187,Peanuts,Home Video/Entertainment,0.035,1950,Comic strip,Charles M. Schulz,Sony Music Entertainment Japan (Sony Corporation) DHX Media
188,Peanuts,"Merchandise, Licensing & Retail",17,1950,Comic strip,Charles M. Schulz,Sony Music Entertainment Japan (Sony Corporation) DHX Media
189,Pirates of the Caribbean,Box Office,4,2003,Film,The Walt Disney Company,The Walt Disney Company
190,Pirates of the Caribbean,Home Video/Entertainment,1,2003,Film,The Walt Disney Company,The Walt Disney Company
191,Pirates of the Caribbean,"Merchandise, Licensing & Retail",1,2003,Film,The Walt Disney Company,The Walt Disney Company
192,Pokémon,Box Office,1,1996,Video game,Satoshi Tajiri Ken Sugimori,"Nintendo (trademark) The Pokémon Company (Nintendo, Game Freak, Creatures) (copyright)"
193,Pokémon,Comic or Manga,1,1996,Video game,Satoshi Tajiri Ken Sugimori,"Nintendo (trademark) The Pokémon Company (Nintendo, Game Freak, Creatures) (copyright)"
194,Pokémon,Home Video/Entertainment,0.863,1996,Video game,Satoshi Tajiri Ken Sugimori,"Nintendo (trademark) The Pokémon Company (Nintendo, Game Freak, Creatures) (copyright)"
195,Pokémon,"Merchandise, Licensing & Retail",61,1996,Video game,Satoshi Tajiri Ken Sugimori,"Nintendo (trademark) The Pokémon Company (Nintendo, Game Freak, Creatures) (copyright)"
196,Pokémon,Video Games/Games,27,1996,Video game,Satoshi Tajiri Ken Sugimori,"Nintendo (trademark) The Pokémon Company (Nintendo, Game Freak, Creatures) (copyright)"
197,Pretty Cure / Glitter Force,Box Office,0.161,2004,Anime,Izumi Todo Toei Animation,Toei Company Asahi Broadcasting Corporation Asatsu-DK
198,Pretty Cure / Glitter Force,"Merchandise, Licensing & Retail",7,2004,Anime,Izumi Todo Toei Animation,Toei Company Asahi Broadcasting Corporation Asatsu-DK
199,Pretty Cure / Glitter Force,Video Games/Games,0.067,2004,Anime,Izumi Todo Toei Animation,Toei Company Asahi Broadcasting Corporation Asatsu-DK
200,Puzzle & Dragons,Video Games/Games,7,2012,Video game,GungHo Online,GungHo Online
201,Resident Evil,Box Office,1,1996,Video game,Shinji Mikami Tokuro Fujiwara,Capcom
202,Resident Evil,Home Video/Entertainment,0.168,1996,Video game,Shinji Mikami Tokuro Fujiwara,Capcom
203,Resident Evil,Video Games/Games,3.52,1996,Video game,Shinji Mikami Tokuro Fujiwara,Capcom
204,Rurouni Kenshin / Samurai X,Box Office,0.159,1994,Manga,Nobuhiro Watsuki,Shueisha (Hitotsubashi Group)
205,Rurouni Kenshin / Samurai X,Comic or Manga,3.36,1994,Manga,Nobuhiro Watsuki,Shueisha (Hitotsubashi Group)
206,Rurouni Kenshin / Samurai X,Home Video/Entertainment,0.051,1994,Manga,Nobuhiro Watsuki,Shueisha (Hitotsubashi Group)
207,Sailor Moon,Box Office,0.042,1991,Manga,Naoko Takeuchi,Kodansha Toei Animation
208,Sailor Moon,Comic or Manga,0.521,1991,Manga,Naoko Takeuchi,Kodansha Toei Animation
209,Sailor Moon,Home Video/Entertainment,0.546,1991,Manga,Naoko Takeuchi,Kodansha Toei Animation
210,Sailor Moon,"Merchandise, Licensing & Retail",13,1991,Manga,Naoko Takeuchi,Kodansha Toei Animation
211,Sailor Moon,Video Games/Games,0.21,1991,Manga,Naoko Takeuchi,Kodansha Toei Animation
212,Sesame Street / The Muppets,Box Office,0.477,1955,Television series,Jim Henson Joan Ganz Cooney Lloyd Morrisett,The Muppets Studio (The Walt Disney Company) Sesame Workshop
213,Sesame Street / The Muppets,Home Video/Entertainment,0.073,1955,Television series,Jim Henson Joan Ganz Cooney Lloyd Morrisett,The Muppets Studio (The Walt Disney Company) Sesame Workshop
214,Sesame Street / The Muppets,"Merchandise, Licensing & Retail",7,1955,Television series,Jim Henson Joan Ganz Cooney Lloyd Morrisett,The Muppets Studio (The Walt Disney Company) Sesame Workshop
215,Sesame Street / The Muppets,TV,0.096,1955,Television series,Jim Henson Joan Ganz Cooney Lloyd Morrisett,The Muppets Studio (The Walt Disney Company) Sesame Workshop
216,Shonen Jump / Jump Comics,Comic or Manga,33,1968,Manga,Shueisha,Shueisha (Hitotsubashi Group) (manga) Bandai Namco (games)
217,Shonen Jump / Jump Comics,Video Games/Games,0.217,1968,Manga,Shueisha,Shueisha (Hitotsubashi Group) (manga) Bandai Namco (games)
218,Shrek,Box Office,3,1990,Novel,William Steig DreamWorks Animation,Universal Pictures (Comcast)
219,Shrek,Home Video/Entertainment,1,1990,Novel,William Steig DreamWorks Animation,Universal Pictures (Comcast)
220,Shrek,"Merchandise, Licensing & Retail",0.275,1990,Novel,William Steig DreamWorks Animation,Universal Pictures (Comcast)
221,Slam Dunk,Box Office,0.048,1990,Manga,Takehiko Inoue,Shueisha (Hitotsubashi Group)
222,Slam Dunk,Comic or Manga,4.591,1990,Manga,Takehiko Inoue,Shueisha (Hitotsubashi Group)
223,Slam Dunk,Home Video/Entertainment,0.019,1990,Manga,Takehiko Inoue,Shueisha (Hitotsubashi Group)
224,Sonic the Hedgehog,Comic or Manga,0.007,1991,Video game,Yuji Naka Naoto Ohshima Hirokazu Yasuhara,Sega (Sega Sammy Holdings)
225,Sonic the Hedgehog,"Merchandise, Licensing & Retail",1,1991,Video game,Yuji Naka Naoto Ohshima Hirokazu Yasuhara,Sega (Sega Sammy Holdings)
226,Sonic the Hedgehog,Video Games/Games,6,1991,Video game,Yuji Naka Naoto Ohshima Hirokazu Yasuhara,Sega (Sega Sammy Holdings)
227,Space Invaders,Video Games/Games,13,1978,Video game,Tomohiro Nishikado,Taito (Square Enix)
228,Spider-Man,Box Office,6,1962,Comic book,Stan Lee Steve Ditko,Marvel Entertainment (The Walt Disney Company) (franchise) Sony (films)
229,Spider-Man,Comic or Manga,1,1962,Comic book,Stan Lee Steve Ditko,Marvel Entertainment (The Walt Disney Company) (franchise) Sony (films)
230,Spider-Man,Home Video/Entertainment,1.15,1962,Comic book,Stan Lee Steve Ditko,Marvel Entertainment (The Walt Disney Company) (franchise) Sony (films)
231,Spider-Man,"Merchandise, Licensing & Retail",14,1962,Comic book,Stan Lee Steve Ditko,Marvel Entertainment (The Walt Disney Company) (franchise) Sony (films)
232,Spider-Man,Music,0.212,1962,Comic book,Stan Lee Steve Ditko,Marvel Entertainment (The Walt Disney Company) (franchise) Sony (films)
233,Spider-Man,TV,0.88,1962,Comic book,Stan Lee Steve Ditko,Marvel Entertainment (The Walt Disney Company) (franchise) Sony (films)
234,Spider-Man,Video Games/Games,1.308,1962,Comic book,Stan Lee Steve Ditko,Marvel Entertainment (The Walt Disney Company) (franchise) Sony (films)
235,SpongeBob SquarePants,Box Office,0.465,1999,Animated series,Stephen Hillenburg,Nickelodeon (Viacom)
236,SpongeBob SquarePants,"Merchandise, Licensing & Retail",13,1999,Animated series,Stephen Hillenburg,Nickelodeon (Viacom)
237,Star Trek,Box Office,2,1966,Television series,Gene Roddenberry,CBS Corporation Paramount Pictures (Viacom)
238,Star Trek,Home Video/Entertainment,1.326,1966,Television series,Gene Roddenberry,CBS Corporation Paramount Pictures (Viacom)
239,Star Trek,"Merchandise, Licensing & Retail",4,1966,Television series,Gene Roddenberry,CBS Corporation Paramount Pictures (Viacom)
240,Star Trek,TV,2,1966,Television series,Gene Roddenberry,CBS Corporation Paramount Pictures (Viacom)
241,Star Wars,Book sales,1,1977,Film,George Lucas,Lucasfilm (The Walt Disney Company)
242,Star Wars,Box Office,9,1977,Film,George Lucas,Lucasfilm (The Walt Disney Company)
243,Star Wars,Home Video/Entertainment,9,1977,Film,George Lucas,Lucasfilm (The Walt Disney Company)
244,Star Wars,"Merchandise, Licensing & Retail",40,1977,Film,George Lucas,Lucasfilm (The Walt Disney Company)
245,Star Wars,TV,0.004,1977,Film,George Lucas,Lucasfilm (The Walt Disney Company)
246,Star Wars,Video Games/Games,4,1977,Film,George Lucas,Lucasfilm (The Walt Disney Company)
247,Strawberry Shortcake,Home Video/Entertainment,0.002,1979,Greeting card,American Greetings,American Greetings
